PDT000212647.2|SAMN07159038||Escherichia albertii||2014C-4361|Pathogen: clinical or host-associated	SRR5590278
PDT000249002.2|SAMN07748138||Escherichia albertii|Escherichia albertii|322491|Pathogen: clinical or host-associated	SRR6144114
PDT000355603.1|SAMN09741054||Escherichia albertii||PNUSAE015687|Pathogen: clinical or host-associated	SRR7620761
PDT000102213.1|SAMD00026624|GCA_001514555.1|Escherichia albertii||20H38|MIGS Cultured Bacterial/Archaeal	
PDT000291292.1|SAMN05439409|GCA_002965325.1|Escherichia albertii||MOD1-EC5952|Pathogen: environmental/food/other	
PDT000102220.1|SAMD00026646|GCA_001514705.1|Escherichia albertii||NIAH_Bird_23|MIGS Cultured Bacterial/Archaeal	
PDT000367783.1|SAMN09925313||Escherichia albertii||PNUSAE017214|Pathogen: clinical or host-associated	SRR7759894
PDT000102234.1|SAMD00026638|GCA_001514985.1|Escherichia albertii||HIPH08472|MIGS Cultured Bacterial/Archaeal	
PDT000010913.2|SAMN02469844|GCA_000208505.2|Escherichia albertii TW15818||TW15818|Generic	
PDT000261050.1|SAMN07159041|GCA_002741375.1|Escherichia albertii||2014C-4356|Pathogen: clinical or host-associated	
PDT000213263.2|SAMN07172366||Escherichia coli||98-3217|Pathogen: clinical or host-associated	SRR5617253
PDT000327245.1|SAMN09388546||Escherichia albertii|Escherichia albertii|435509|Pathogen: environmental/food/other	SRR7286536
PDT000316198.1|SAMN09222192||Escherichia albertii|Escherichia albertii|379422|Pathogen: environmental/food/other	SRR7179944
PDT000102235.1|SAMD00026639|GCA_001515005.1|Escherichia albertii||K7394|MIGS Cultured Bacterial/Archaeal	
PDT000380169.1|SAMD00093366|GCA_003569025.1|Escherichia albertii||Hiroshima3582|MIGS Cultured Bacterial/Archaeal	
PDT000063343.2|SAMN03569586||Escherichia albertii||06-4124|Pathogen: clinical or host-associated	SRR2000000
PDT000212578.2|SAMN07159043||Escherichia albertii||2010C-4750|Pathogen: clinical or host-associated	SRR5590039
PDT000271621.2|SAMN08172554||Escherichia coli||07-4367|Pathogen: clinical or host-associated	SRR6373716
PDT000115010.2|SAMN04558449||Escherichia coli||2012C-4454|Pathogen: clinical or host-associated	SRR3231783
PDT000327236.1|SAMN09388530||Escherichia albertii|Escherichia albertii|416278|Pathogen: environmental/food/other	SRR7286527
PDT000352693.1|SAMN09694995||Escherichia coli||PNUSAE015503|Pathogen: clinical or host-associated	SRR7544704
PDT000102218.1|SAMD00026644|GCA_001514665.1|Escherichia albertii||NIAH_Bird_16|MIGS Cultured Bacterial/Archaeal	
PDT000271608.2|SAMN08172552||Escherichia coli||2010C-3535|Pathogen: clinical or host-associated	SRR6373701
PDT000102228.1|SAMD00026631|GCA_001514865.1|Escherichia albertii||E2675|MIGS Cultured Bacterial/Archaeal	
PDT000271618.2|SAMN08172551||Escherichia coli||2009C-4005|Pathogen: clinical or host-associated	SRR6373711
PDT000102226.1|SAMD00026628|GCA_001514825.1|Escherichia albertii||CB10113|MIGS Cultured Bacterial/Archaeal	
PDT000291298.1|SAMN06045921|GCA_002965725.1|Escherichia albertii||MOD1-EC1723|Pathogen: clinical or host-associated	
PDT000131848.2|SAMN05163802||Escherichia coli|O61|142666|Pathogen: clinical or host-associated	SRR3574325
PDT000108009.2|SAMN04505781||Escherichia coli|E. coli O157:NM|2009C-4231|Pathogen: environmental/food/other	SRR3180792
PDT000102225.1|SAMD00026652|GCA_001514805.1|Escherichia albertii||NIAH_Bird_8|MIGS Cultured Bacterial/Archaeal	
PDT000102221.1|SAMD00026647|GCA_001514725.1|Escherichia albertii||NIAH_Bird_24|MIGS Cultured Bacterial/Archaeal	
PDT000291294.1|SAMN04279373|GCA_002965545.1|Escherichia albertii||MOD1-EC5045|Pathogen: environmental/food/other	
PDT000063181.2|SAMN03569264||Shigella flexneri||2011C-4115|Pathogen: clinical or host-associated	SRR1999316
PDT000110188.2|SAMN03358366||Escherichia coli||BCW_4827|Microbe	SRR1816439
PDT000277855.1|SAMN08242133|GCA_002872455.1|Escherichia albertii||ChinaSP140150|Microbe	
PDT000102219.1|SAMD00026645|GCA_001514685.1|Escherichia albertii||NIAH_Bird_2|MIGS Cultured Bacterial/Archaeal	
PDT000156952.2|SAMN05980961||Escherichia albertii|Escherichia albertii|267803|Pathogen: clinical or host-associated	SRR4897706
PDT000063330.2|SAMN03569573||Escherichia coli||04-3343|Pathogen: clinical or host-associated	SRR1999986
